file,line,col,log_line,raw_message,category,suggestion
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,480,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,491,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,499,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,514,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,523,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,526,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,534,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,548,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,563,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,572,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,581,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,590,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,593,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,602,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,611,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,614,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/Algorithms/CinderPeakAlgorithms.hpp,17.0,12.0,623,"declaration of ‘hcsr’ shadows a member of ‘CinderPeak::Algorithms::CinderPeakAlgorithms<VertexType, EdgeType>’ [-Wshadow]",variable shadowing,Rename inner variable or reduce its scope to avoid shadowing.
/home/jasper/Development/CP-DEV-SELF/something/CinderPeak/src/StorageEngine/HybridCSR_COO.hpp,497.0,26.0,632,potential null pointer dereference [-Wnull-dereference],possible null dereference,Add null checks or use non-nullable types / optionals.
